sentence,trigger,event_type,tag
上海市第二中级人民法院经审理认为，在类别域名“．ｃｏｍ”中的注册人均系商业性组织，如果在“．ｃｏｍ”类别域名前注册的三级或二级域名与他人在市场上享有较高声誉并为相关公众所熟知的注册商标相同，就会造成商业上的混淆，并现实或潜在地损害注册商标权益人的利益,审理,29,25
（塔拉哈西法新电）随着佛罗里达州法官前天驳回民主党阵营有关佛州选票争端的诉讼，以及联邦最高法院对允许过期重算选票的决定提出质疑后，民主党总统候选人戈尔的总统梦因此遭受了两次致命的打击,诉讼,8,43
他告诉记者说，在最新的冲突发生一个月前，预计的经济增长将达到7％,冲突,0,775
佛州最高法院２０日下午就该州选票统计争端举行了两个半小时的听证会之后，于２１日晚间作出裁决，允许将该州棕榈滩、布劳沃德和迈阿密－戴德３县的人工重新计票结果计入佛州总统大选的总票数中，同时确定１１月２６日下午５时前或２７日上午９时前为完成人工重新计票的截止时间,听证会,29,131
为彻底解决人质危机，菲政府军从９月１６日开始对阿布沙耶夫武装发动攻击,攻击,0,843
正在日本访问的俄罗斯国防部长塞吉耶夫29号表示，北韩很有可能削弱他120万人部队的部分兵源，作为缓和朝鲜半岛情势的努力,访问,32,1693
近一个时期以来，德国极右势力经常制造事端，德国各地也不断爆发大规模的反极右示威活动,示威,10,34
法庭同时允许拉奥和辛格每人支付２０万卢比的保释金，将开始服刑的时间推迟至１１月８日，以便于他们向德里高等法院上诉,上诉,25,1100
这些成员是以谋杀、绑架等罪名被关进监狱的,关进,27,713
虽然中国大陆目前正在严厉禁止“法轮功”，不过在台湾”法轮功”的信徒估计已经有好几万人，源引亚太地区2000年的”法轮功”大法会周四在台北进行，而上午这场法会甚至还包括从大陆来的“法轮功”信徒，他们感慨同样是中国人社会但对于信徒的待遇却是有如此大的差距,来,32,1659
网民说，在外国，捐款经常是通过电话热线、街头募捐等方式进行的，捐款人自发性比较强，但中国现在主要的募捐手法却是由政府机关和事业单位动员雇员捐款，谁捐了多少上级一清二楚，结果一些不愿意捐助者在压力下，也不得不有一些象征性的表示,捐款,4,2119
据介绍，无线、有线和教育三台合并的做法在全国省级电视台中还是首次,合并,16,1555
虽然部份民主党议员以伊拉克战争中所犯的错误为由反对，但美国参议院1月26日仍以85票对13票表决通过莱斯担任国务卿的人事案,担任,3,425
第三天上班，老板还是让我去车站托运散件，和第二天差不多，我冒着酷暑又干完了,去,32,2025
两名妇女认为丈夫包二奶已非一、两年，突然提出离婚就是因为人口普查有机可趁，想趁机为非婚生子女报户口，再弃旧娶新，二奶变大婆,娶,5,1318
佘国信，５７岁，原系广西壮族自治区人民政府主席助理，广西壮族自治区财政厅厅长、党组书记，因涉嫌受贿于２０００年１月１７日被公安机关逮捕,逮捕,27,692
新华社圣地亚哥１２月１１日电（记者侯耀其）智利圣地亚哥上诉法院第五庭１１日下午做出初审裁决，宣布接受前军政府领导人皮诺切特辩护律师团提出的上诉，推翻古斯曼法官本月１日签发的关于审判皮诺切特的决定,上诉,25,799
国道公路警察二队凌晨在一个尊隆巴士上就查获了两把制式的手枪和子弹，并且抓到了尾随车后跟货的一对男女,抓 到,27,1547
柯考廉早年经营一家航空公司，将大批旅客运送到拉斯维加斯赌场，因此致富,运送,32,139
另外还有3名少年是专偷庙里面的香油钱而且居然嫌偷得太慢干脆用抢的被警方巡逻逮捕,逮捕,27,1861
萨尔图区一位小学四年级的学生给山东的姑妈写信，引进了投资300万元的饴糖加工项目,写信,15,1419
叛乱份子周二公布了一卷显示一名美国人质讨饶的录影带，激进份子则在巴格达暗杀一名高级法官，显示破坏周日关键选举的暴力活动更激烈,暴力,0,2212
在澳门的港澳码头，来往香港与澳门之间的渡轮平均每15分钟一班进出，一群一群的香港游客步履匆匆，澳门船务公司负责人介绍说，每天渡轮的载客量都在8成以上，这种情况与一年前大不一样,来往,32,1857
与此同时，联合国秘书长安南１０号的在耶路撒冷与以色列总理巴拉克举行了会谈，安南说：他此次中东之行不仅是为了解决以巴冲突，同时还是向以巴领导人传达一个信息，仅于双方必须尽快回到谈判桌上来，通过和谈推进以巴和平进程,冲突,0,1467
为何这么多的科技人才想“外移”去祖国大陆,外移,32,787
记者了解到，近日，全国各省区市的天主教界以及其他宗教团体陆续举行座谈会，对梵蒂冈借“封圣”搞反华的行径进行声讨,座谈会,21,1104
而检警人员担心她可能真的就这样不回台湾了，目前正密切透过驻外人员和国际合作试图掌握朱婉清的行踪,回,32,1709
早些时候，印度方面报道说：有10名巴基斯坦士兵在瑙谢拉附近被打死,死,1,1457
"报道引述法国警方发言人说，""英国人愿意接手这辆车，不过他们不会找到任何引发车祸的线索""",接 手,32,2245
林立凡的母亲郑福治（48岁）说，从他小四到中二那段期间，她经常被学校的老师和校长“召见”，因为林立凡经常不交作业或遗失作业,召见,21,772
第二天上班，老板让我去长途车站托运主板，比头一天轻多了，我冒着酷暑干完了,去,32,2024
由于美国克莱斯勒汽车厂业务仍然亏损，第三季已经亏损5亿7900万欧元，是历年来最高的，戴姆勒克莱斯勒公司因而受到抨击，上个星期开除了三位美国高级人员，并派德国人员取代他们,开除,31,144
2001年12月1日，皇太子德仁与皇太子妃小和田雅子结婚将近8年后生下女儿爱子,结婚,5,2224
新华社新德里１２月２日电（记者熊昌义）一列满载乘客的客运列车今天上午６时左右在印度北部旁遮普邦萨赖－班加拉车站附近与一列刚刚脱轨的货运列车相撞，至少有２５名乘客死亡，１００多名乘客受伤,死亡,1,888
他们也被控试图杀害两趟班机上所有的人,控,13,1077
在巴以爆发大规模冲突后，以色列近日一度关闭了拉法海关，并在其入口处部署了装甲车等重武器,冲突,0,506
格拉纳被控命令赤身裸体的囚犯躺在一堆组成人肉金字塔，以及命令囚犯们自己手淫让士兵们拍照,控,13,446
国家体育总局日前宣布将田亮逐出国家跳水队后，在内地惹起极大回响，民众大多支持田亮继续留在国家跳水队,逐出,31,2082
国际方面，以色列总理巴拉克9号晚通过电视台向全国发表讲话宣布，他将于10号向以色列总统卡查夫提辞呈，并根据有关法律规定在60天内组织举行新的总理选举,辞呈,31,1344
重组后的森内阁只出现几张的新面孔，其中曾经在1991年到1993年出任首相的宫泽喜一这次再度的被留任为大藏大臣，另一位前首相乔本龙太郎则被任命为主导行政改革的阁员,出任,3,1366
新华社汉城１１月１５日电（记者高浩荣）汉城高等法院１５日以欺诈罪判处“天尊会”教主牟幸龙８年徒刑，并以同样的罪名判处其妻子朴贵达７年徒刑,判处,22,621
戈尔的首席律师博伊斯认为，尽管按计划佛州首府塔拉哈西在当地时间星期三还有两宗案子要审理，但巡回法庭的裁决应是最后的摊牌,审理,29,45
一个错误的决定导致了一场错误的婚姻,婚姻,5,1978
他睡眼朦胧一开门，“噼里啪啦”就被一顿劈头盖脸的抽打,抽打,0,2135
美国铝公司董事长保罗·奥尼尔被提名为财政部长,提名,23,753
新传媒艺人郑秀珍因无法偿还一证券公司近30万元债务，遭高等法庭宣判破产,破产,19,317
”　在阿拉法和皮里斯达成新协议后，以巴的高级保安官员接着在约旦河西岸和卡萨地带执行新协议，准备在48个小时内平息暴力冲突,冲突,0,111
"本坛讯：西祠""市民论坛""第一次代表大会昨日（15日）在宁开幕，同日闭幕",大会,21,429
新华社合肥１２月３１日电（记者张曙光）今天夜里，中国科学技术大学绿色科技中心的１０多名教授聚集在一起座谈迎接绿色科技新世纪，并为即将离去的２０世纪守夜,座谈,21,215
而在围捕的过程当中嫌犯还一度拒捕跳楼还摔断了腿，所幸只是轻伤,轻伤,24,1331
“可能到南极我拍的和我想的可能更多的跟水有关，因为地球上水资源正在枯竭，据说，80%到91%的淡水在南极，所以我想到那儿我去看南极的水,到,32,1234
两岸自1949年以来便没有直飞班机，往返台湾与中国的旅客通常必须经由香港等第三地,往返,32,1958
是兼于参考还是长官压力，走向站在立法院贝形台上的教育部长孙志朗是越来越忧虑，从昨天讲到了今天，关于中文译音版本要选用汉语还是通用，面对外界的一再询问，部长还是不肯松口，只说他还没有做最后的定案,走向,32,1523
要争取到赢得白宫宝座的270张选举人票，每一周都可能起到关键作用,赢得,3,1153
萨哈夫在信中指出，无论是来自何国的飞机，在非军事区上空从事飞行活动都是违反联合国有关决议的行动,信中,15,746
津巴布韦的警察和安全部队突袭了一家独立电台的播音室,突袭,0,1309
集会本身开始之后气氛相当平和，示威群众的车队喧嚣绕行首府班达雅奇市街道时警方也没有采取任何的阻止行动,集会,10,394
北京市高级人民法院认为：上诉人宠友、慕春艳、陈姝平无视国法，在国家明令取缔法轮功邪教组织并禁止从事法轮功邪教活动后仍继续从事邪教活动，非法印制法轮功邪教内容的宣传品，破坏国家的法律秩序且非法印制、散发宣扬邪教内容的宣传品，数量巨大造成严重后果，情节特别严重，依照中华人民共和国刑法第300条第1款等条款和最高人民法院、最高人民检查院关于办理组织和利用邪教组织犯罪案件具体应用法律若干问题的解释及中华人民共和国刑事诉讼法的规定，北京市高级人民法院裁定：驳回4人的上诉，维持原判,上诉,25,1766
另外联合国官员也表示，根据联合国制裁行动，伊拉克飞机飞越禁航区的行动是违法的,飞越,32,1158
王再海５次与村干部、水利员一起进山考察，检验水质,进,32,700
以色列士兵7号在以色列和黎巴嫩的边界对一群扔石头的巴勒斯坦示威者开火，结果造成两名巴勒斯坦人丧生和10多人受伤,开火,0,1790
有媒体说他带了一千万到澳门去豪赌，不过胡瓜的助理说他是为了开户买股票,到,32,1376
会议期间，代表们还参观了古巴的一些医疗设施并和当地组织和团体进行了座谈，对古巴的现状有了更好的了解,座谈,21,253
前几天看的一则电视报道，说的是湖南某村抓了一位疑似小偷的人，从凌晨两点多就报警，虽报警数次，但直到早上七点多，警察才来,抓,27,2067
（多伦多美联电）加拿大警方穷15年努力明查暗访了数千人后，终于在星期五逮捕了两名涉及策划炸毁印度航空公司一架客机的主谋,逮捕,27,1067
总统府也要求行政院在明天晚上首度召开的府、院、党高层会议中就当前的经济形势提出专案报告,会议,21,398
其实早在7月底美国北科大副校长聘书就已经到了黄茂树的手上，而台中新院的校长职务是提到8月中旬才确定由黄茂树接任,接 任,3,1243
紧接着从胡同内跑来一个人，杜海平几个箭步冲上去，死死抓住迎面而来的歹徒的头发，歹徒瞬间拔出尖刀猛刺杜海平，并挣脱而跑,跑来,32,989
"昨天下午6点，在南京快乐人家酒店，""市民论坛""第一次代表大会隆重开幕",大会,21,431
IBM公司在2004年12月上旬把个人电脑部门以12.5亿美元的价格出售给中国的联想电脑集团，目的就是要减少亏损，改善集团公司的账面形象,出售,2,1941
（华盛顿综合电）截至本星期末为止，小布什在美国总统竞选民意调查中大多占上风，女性选民支持率上升是主要的刺激来源,竞选,17,499
近来，利比里亚和几内亚两国一直互相指责对方支持各自的反对派越境袭击边界附近的村镇，双方武装部队的交火事件也时有发生，致使两国关系更加紧张,越境,32,982
施罗德还强烈呼吁巴以双方立刻采取措施，制止流血冲突,冲突,0,99
现年63岁的埃斯特拉达否认这项指控，并且誓言会在将来参议院的弹劾审判当中为自己强烈的辩护,指控,8,1215
对于愈演愈烈的总统府绯闻案总统府上午首度表示立场，总统府秘书长尤希昆说：“只要副总统决定打官司，陈总统一定会支持”,打官司,8,397
我想未来还会看到许多会有这样并购或是收编，或者是靠航，最后可能会形成几个集团的情形,并购,16,1872
”隐密道还有监视器，三温暖业者隔出了几十间小房间就这样做起生意，负责人陈姓男子被带回警局将以妨害公法移送，不过这么大胆，警方怀疑他幕后还有别人的操控,带回,32,368
克什米尔穆斯林分离武装主义组织对此表示欢迎，并再次重申进行包括印度、巴基斯坦在内的3方和平对话，该组织领导人称将派遣使团前往巴基斯坦探讨进行三方对话的可能性,前往,32,1576
北京同仁医院等三家医院都是大型三级甲等综合性医院，分别以眼科、耳鼻咽喉科、骨科、烧伤科以及心肺血管疾病的治疗见长，由他们组成的医疗集团将给患者就医带来极大方便,组成,6,1512
浙江绿城集团日前已宣布正式“收购”了这支上赛季刚刚降入甲Ｂ行列的球队,收购,2,489
北京市公安局海淀分局东宫门派出所民警袁时光与在场群众张林、何琦上前抓捕时，王国清掏出随身携带的尖刀行凶拒捕，将袁时光腹部主动脉刺破，造成急性失血性休克死亡，张林、何琦也分别被王国清刺伤,抓捕,27,514
上海一所小学就特别发动学生筹办募捐义演，把筹集的款项捐给印度洋的灾民,捐给,4,2123
信中说，以色列１２日对加沙和约旦河西岸进行的袭击等于是对巴勒斯坦人民“全面宣战”，这些军事行动在巴勒斯坦被占领土上造成了大量人员伤亡和财产损失，违反了包括联合国决议在内的国际准则，给地区冲突带来了新的不祥之兆,信,15,950
高中同学前一个月结婚了,结婚,5,1950
汉城高等法院１５日作出了上述判决,判决,22,626
星期一的百万家庭大游行，预计将有一百万人或是更多的人参加,游行,10,1725
新华社巴拿马城１２月１７日电（记者纪国华）巴拿马中国商会１７日在距巴拿马首都约５０公里外的甘博亚饭店正式成立,成立,6,293
后来第一次回国时，找个机会去了那里，可已经物是人非，那条街还在，可铺子都换了，再也没找到那家鸭汤馄饨店,去,32,2012
除了导致大批旅客包括许多准备前往台北采访空难的新闻记者滞留在香港机场，直到下午2：17分日本亚细亚航空公司开出第一班离港到台北的班机才疏导了滞留在机场的旅客,前往,32,1439
根据多维社今天引述北京消息人士指出，因为支持“法轮功”以及其它气功团体活动而被免去中共国家体育总局局长的武绍祖，月前已经被安排出任中共中央直属机关党委第二副书记，仍然享受部级的待遇,免去,31,1256
据巴方统计，在过去４天的冲突中，已有３１名巴勒斯坦人被以军打死，１３００多人受伤,冲突,0,723
今年1月，双方提出新的合并计划，但因为管制当局存有疑虑而两度延期落实,合并,16,83
第一天上班，报完到就让我回家，要穿浅色衬衣，要穿长裤，衣服要系在裤腰里，要穿皮鞋，就差戴领带了,回,32,2029
明确谴责以色列军队针对巴勒斯坦平民过度使用武力，中国常驻联合国代表王英凡也在会议上呼吁有关方面保持最大限度的克制，避免局势进一步恶化,武力,0,1159
美国外国投资委员会的主要职能是审查国际企业对美国企业的收购，此前该机构曾经否决过同中国相关的企业在美国进行收购,收购,2,2258
"为了获得中国市场的进入许可，高盛捐赠了6,200万美元给海南证券(HainanSecurities)用于偿还客户保证金",捐赠,4,2236
巴勒斯坦民族权力机构主席阿拉法特5号决定接受美国总统克林顿的邀请，将于9号对美国进行正式访问,访问,32,1747
同时，一架中国南方航空的飞机也在早上8点从广州起飞，预定在9:30(0130GMT)到达台北,起飞,32,1957
家属要问的是拆除阵员明知道镇长高峰为服食农药要以抗争，竟然还见死不救，家属说要正义的公道,死,1,1282
赵明录９日抵达华盛顿后曾发表书面声明说，他希望利用访美的机会修复朝美关系,访,32,934
以色列一辆轿车20号在加沙走廊遭到了炸弹攻击，造成两名以色列成年人丧生,丧生,1,1399
除了在东台湾喜气洋洋之外，在台北县也有一场号称世纪末最具规模的户外集团结婚，除了有百人大乐队之外，168对新人更同时拥吻200秒为即将到来的二十一世纪来做见证,结婚,5,1382
今年１０月２日１９时２０分许，正在值班的哈尔滨铁路局齐齐哈尔铁路公安处安达站公安派出所民警杜海平在准备回家吃饭的途中，得知有人正在安达市新兴街２委１６组的民宅内进行盗窃活动,回,32,986
这次在克林顿明年1月卸任前召开的飞弹会谈有助于北韩这个贫穷国家结束过去几十年来独立于国际社会的局面，朝向获得国际社会认可的目标前进,会谈,21,388
”　巴勒斯坦谈判代表沙阿斯说，以色列也将逐步解除对巴勒斯坦地区的封锁，允许巴勒斯坦人重返以色列工作，开放卡萨国际机场以及跟埃及和约旦的边界检查站,重返,32,116
他的父亲武云甫曾经担任中共中央军委秘书长,担任,3,1257
埃斯特拉达解释，当辛森试图将这2亿比索的汇款给他的时候，他不愿意接受，因为当时他还是市长的身份，而他表示不会接触非法的钱，尤其他是总统,给,4,1216
”保守派领袖克拉克觉得加拿大按地区存在分裂，他希望，政治不会损害加拿大的团结一致，克拉克曾在1979和1980年担任过9个月的加拿大总理,担任,3,375
新加坡《联合早报》：台湾联华电子、德国西门子和新加坡经济发展局合资明年兴建63亿新币的精元厂,兴建,6,1615
报道说经查证后，若能证实丛张二人受贿贪污超出中央的底线，这两名高级官员很可能被判处死刑，据称这是中共高层整顿河北当局腐化的征兆,判 处,22,1631
大宇汽车公司由于无法还债，上个月申请破产，导致1万7000名生产工人面对失业问题，此外还有大约30万家承包商岌岌可危,失业,31,1129
虽然中共当局在1997年跟98年底先后签署了两项《经济、文化、社会和公民权利》跟《政治权利保障人权》的国际公约，但是在98年底中共就拘捕了中国民主党创办人，包括王友才及徐文丽等20多名党员，当中多名核心成员还被当局以“颠覆罪”判处重刑,判处,22,1732
科恩离开卡塔尔首都多哈前往阿曼之前对记者说：“恐怖主义行动继续席卷本地区，我们非常关注这事,离开,32,674
美国当地时间星期三，佛州的法官们还将分别听取两起民主党提出的上诉,上 诉,8,51
信息中心呼吁美国移民局应该要执行法院判决立即释放张宏宝以保障他的人权,释放,14,1275
印尼总检察院是在８月上旬以苏哈托在执政期间利用他创立和经营的７个基金会侵吞国家５．８亿美元向法院提出起诉的,创立,6,40
此外，达成合并协议也可能会引起消费者权益保护团体的愤怒，这些组织担心，上述合并将导致电信行业的选择范围及竞争对手数量急剧下降,合并,16,2093
北京一个法院对被取缔的“法轮功”组织信徒滕春燕进行了秘密审判,审 判,29,1587
桃园的中义中学今天欢度了60周年的校庆，包括了国防部长武世文以及演艺圈的制作人周游、李朝勇回到母校和师生一块为学校庆生，并且颁发了‘杰出的校友’,回到,32,1637
阿拉法特在电话中高度评价约旦一贯支持巴勒斯坦人民反对以色列侵略的原则立场,电话,15,905
据报道，两名武装分子前晚9时40分左右闯入戒备森严的红堡，用AK-47型自动武器向守卫红堡的印军士兵扫射，当场打死一名军人、一名理发师及一名替军队服务的平民,死,1,1046
会后，代表们登上新街口天安大厦39层，欣赏了新街口的夜景，充分感受南京的美丽，为生活在这样一个美丽的城市，并为她建设地更好而感到骄傲,会,21,439
但是到了星期六中午，联邦最高法院予以干涉，暂时停止佛罗里达州的计票工作，命令星期一就这个争议，举行听证,听证,29,1906
翁帆在毕业之后结婚及很快离婚,结婚,5,2206
叙利亚总统巴沙尔１日抵达开罗，开始对埃及进行为期２天的访问,抵达,32,271
或许历史会重复，史书会记载：美国的独裁者小布什借口核问题，联合日本对朝鲜发动了侵略战争,战争,0,488
但种种迹象表明，利库德集团的这些计划难以实现，问题的实质是沙龙也不想让内塔尼亚胡重新出山，多数议员也不想在大选中落选而丢掉饭碗，巴拉克决定辞职为延续自己的政治生涯走出了一招妙棋，机关算尽真聪明，但最终能否如愿尚需观察,辞职,31,1350
内政部警政署刑事警察局明年将以打击毒品犯罪名义派遣5名干员赴大陆与中国公安合作打击海峡两岸犯罪，但是合作的管道还没有建立之前就已经传出四海帮帮主杨光南等8名台湾黑社会分子在大陆上海被捕的消息,赴,32,1391
陈总统的一纸特赦令换来工遇领袖曾茂兴的自由，监狱外200多名支持者热烈欢迎曾茂兴的归队，而守候多时的家人更是准备了猪脚面线，等待曾茂兴共享天伦之乐，他抱着刚满月却因为服刑而无缘见面的外孙女，没想到就在特赦这一天，子孙第一次相聚，分外感动，曾茂兴为了劳工权益的奋斗精神也吸引许多人前来献花祝福,特赦,7,1801
他在接受记者采访时说，英国诺丁汉大学聘请我担任校长，不但是我的荣幸，更是国际教育界、学术界对中国学者、学术水平的认可，同时也表明中国的教育水平和管理水平也取得显著成就，并得到国际上的广泛关注,担任,3,352
虽说马拉多纳球艺高超，但人品的确让人不敢恭维，多年吸毒、殴打记者、绯闻不断，是个令人头疼的人物，把他评为世纪最佳足球运动员有违国际足联的初衷,殴打,0,523
拉奥是因涉嫌在１９９３年７月的一次不信任投票中犯有贿赂议员罪而被送上法庭的,送上,13,1098
这架华航的A330-300空中巴士预定在中午12:20(0420GMT)抵达北京,抵达,32,1956
以军方没有提到以军伤亡情况,伤,24,820
这次主管欧盟扩大事物的欧盟值委弗秀根表示：针对陷入僵局的奥地利、捷克两国核电厂谈判进行调停并且能够达成协议，证明象这类的争议是可以透过和平方式来加以解决的,谈判,21,1583
对于目前行踪不明的米洛舍维奇则是出生在塞尔维亚的中部工业城，父亲是一位神学家，母亲是一位老师，但是他的母亲在米洛舍维奇年青的时候就已经自杀去逝了,出 生,11,1674
他目前在一家当地医院被拘禁监控，以防再度自杀,拘禁,27,2061
双方各有数人在冲突中受伤,冲突,0,670
与会各国首脑一致表示，希望进一步加快一体化进程，特别是加快共同市场的建立和各国宏观经济环境的改善,会,21,658
两女惊呼求救，男子见状欲冲出女厕逃走,冲出,32,2232
以上几项提名还需得到美参议院的批准,提名,23,639
当局拘捕他们之后几天内就会将他们驱逐出境了事，这次却加以审判，显示中共当局想以此来吓阻海外法轮功学员在境内的活动,审判,29,1294
如果未来四年美国再次出兵朝鲜，中国会如何反应,出兵,0,485
法国农业部长格拉瓦尼前往机场迎接普京，普京当月30号在巴黎参加由欧盟轮值主席国法国主持的欧盟俄罗斯首脑会议，会议将动员讨论改善双方经济关系，并涉及中东局势等问题,前往,32,337
活动暂定为８日下午，新疆维吾尔自治区领导会见代表团成员；９日上午在新疆师范大学与新疆６所高校师生交流，下午在新疆人民会堂举行报告会和体育表演；１０日参观乌鲁木齐市容,会见,21,86
朝鲜和美国昨天结束了关于寻找朝鲜战争期间失踪美军士兵问题的会谈并达成了共识,会谈,21,1335
我想可能曾志伟、谭咏麟他们可能会带他去走一走，去玩一玩，反正时间还长吗，对不对,走一走,32,1378
由于店员并没有反抗，这名歹徒就大大方方的在店里头搜刮了长达半个小时才离去,反 抗,0,1493
我们正提出上诉,上诉,8,46
我多次电话联系都没人理我；,电话,15,1998
有人说他从板桥开车到新庄上班，大老远就看到天空黑麻麻的一片，仿佛象是在晚上一样,到,32,1909
参加大会的代表们１４日上午还来到位于美国驻古巴利益办事处门前的“何塞·马蒂反帝论坛”举行集会，一致谴责美国政府和国会一意孤行，坚持对古巴进行封锁和采取敌视政策,来到,32,252
俄罗斯总统普京加入了争取结束中东暴力的努力,暴力,0,1569
"2004年12月24日，杨振宁接收""上帝恩赐给他的礼物""-翁帆",接收,5,2208
新华社巴拿马城１２月１７日电（记者纪国华）巴拿马中国商会１７日在距巴拿马首都约５０公里外的甘博亚饭店正式成立,成立,6,74
布什阵营２２日向美国联邦最高法院提出上诉，要求推翻佛州最高法院的上述判决,上诉,25,158
太平洋国家文莱目前正在世界各国媒体的聚光灯之下，因为21个国家的国家元首正在这里参加一年一度的亚太经合组织领袖的首脑会议,会议,21,1254
新华社安曼１２月２６日电（记者鲁绍明王丙飞）约旦驻塞拉利昂的最后一批维和部队官兵２５日夜乘飞机返回约旦首都安曼,返回,32,615
叙利亚总统巴沙尔·阿萨德到达约旦就目前的巴以危机和阿甫杜拉国王举行会谈，这次访问是叙利亚领导人第一次访问安曼,访问,32,359
我们退出来打了110，不通，再打，还是不通，看来报警的人太多,打,15,2150
这些民众拿出准备好的图表和表格，说第一银行离职的行员黄金辉，以前在银行的时候，涉嫌利用客户当人头，冒贷1900多万，还盗卖股票，银行也不管一管根本是在纵容犯罪，银行应该要赔偿,离职,31,1597
日本历史上有过女天皇，最后一位女天皇于1762年至1771年间在位,在位,3,2228
被告一旦被拘捕及定罪，将分别面临10年至终身监禁，以及各被罚款高达400万美元，没收财产总额将超过1亿3百万美元,监禁,27,2072
地区检察官办公室说，由于阿瓦雷兹有自残行为，因此医生认为他目前不适合出庭应讯,出庭,29,2063
孩子们直至昨天才获知妈妈不幸罹难的消息,罹难,1,969
“等我再长大了一点，总统府前广场路大地宽，是示威、抗议的好场所,示威,10,1545
伤员已送到医院救治，事故原因正在调查中,送到,32,1146
这次选举是在盖伊将车通过去年12月的政变上台以后，科特迪瓦转向文人治国的过程的一部分,上台,3,345
次日，皮诺切特辩护律师团以古斯曼法官的决定违反司法程序为由向圣地亚哥上诉法院提出上诉,上诉,25,802
“在充分考虑了双方的证词和意见以后，我们深信，如果将赖昌星和江明娜释放，不大可能将他们从加拿大遣返回国,释放,14,314
今晚，他恰巧没有演出，便特意赶来观看《贞观盛事》，京剧艺术家们精彩的表演令他陶醉,赶来,32,78
以色列军队指挥官表示：他们不指望近一个月来的冲突会很快的结束,冲突,0,1568
这个月初，监管机构刚刚批准高盛与新成立的高华证券(GaoHuaSecurities)组建合资企业,组建,6,2241
叙利亚前总统阿萨德在执政近３０年后于今年６月突然病逝，使叙利亚提前进行权力交接工作，年仅３５岁的巴沙尔成为叙利亚新的最高领导人,病逝,1,181
１９９７年５月，经过各方面协调，创办了“富平县万斛山劳武石材开发有限责任公司”，建立了石材精加工一条龙生产线，在西安、咸阳等地设立墨玉石精品展厅和销售窗口，目前产品远销全国１８个省市，墨玉石制品成为了“国宝”,创办,6,703
造成大量人员伤亡,伤,24,2040
南联盟塞尔维亚共和国政府总理马里亚诺维奇日前已向塞尔维亚议会递交了辞呈,辞呈,31,1452
德国代理人杨平来大庆考察后，达成了开发地热资源等三个项目的合作意向,来,32,1420
以色列军队表示已经做好准备和巴勒斯坦人进行持久冲突,冲突,0,1564
由于抢救及时，中毒民工都没有生命危险,中毒,24,1533
医院方面的消息灵通人士说：在加沙地带和西岸的冲突中另外还有30多人受伤,冲突,0,1567
印尼的雅奇省11号估计有大约40万的民众连续第两天集会示威，支持就雅奇独立问题举行公民投票,示威,10,392
以军还阻止巴救护车前往枪击现场进行救治并确认死者身份,前往,32,818
行政院长负责提名各部会首长，政务委员及行政院副院长，由总统同意任命,提 名,23,2003
据了解，此案的被告人为今年２９岁的安徽省来京从事服装生意的王祚聪，被害人则是被王祚聪认为与其夫胡孝胜有暧昧关系的２４岁的女同乡束志梅,来,32,148
日本时事新闻社和nhk2号报道，因为东海村油燃料加工厂去年9月发生核灾事故而被起诉的6名员工，包括因为作业不慎引发事故的3名现场作业员之一的滕川丰和、54岁的前所长月岛间三，月岛因为涉嫌违反日本核子安全法和代忽监督职守在上个月被逮,起诉,8,1164
（东京路透电）日本三菱汽车公司因为过去20年向政府隐瞒顾客投诉实情，私下维修失灵汽车，昨天被东京法庭判以相关法令下的最高刑罚，罚款400万日元（约6万4000新元）,罚款,20,911
这起重大事故造成11人丧生,丧生,1,2055
许多云宁的民众今天上午到北港的第一银行丢臭鸭蛋，他们抗议银行涉嫌用人头户冒贷甚至是冒领，害得这些民众是莫名其妙的背了一屁股的债,到,32,1596
妹妹家刚刚搞了装潢，邀请弟兄姐妹携儿带女前去参观，随便也算是年前聚一聚，热闹一把，时间定在上周日中午,前去,32,2149
在使出浑身解数仍难以为继后，目前兰州的室内泳馆除两家正常营业外，其余的都以各种理由闭门谢客,闭 门,28,553
枪战持续达半小时之久，并从火车站附近扩展到金边市其他街道,枪战,0,266
本次评选活动的评委由捷克体育界专业人士组成，捷克教育、体育和青年部副部长马利担任评委会主席,担任,3,909
在对一些企业提起诉讼的同时，华融还对资不抵债的北京鸿高玉苑物业管理有限公司、北京十三陵明皇蜡像馆等两家企业，向北京市中级人民法院提起了破产清算申请，涉及债权金额约１０亿元,破产,19,558
在南斯拉夫米洛舍维奇下台之后欧洲联盟决定减缓对塞尔维亚的制裁,下台,31,1142
由于事件早已震惊中港两地有关执法部门，男童父母昨日竟悄悄赴广州接回儿子后，才通知香港警方及返港销案，其后透过立法会议员向外转述男童失踪的另一版本，令事件更耐人寻味,赴,32,1932
随同于永波访问的广州军区政委刘书田、兰州军区副司令员兼兰州军区空军司令员马晓天、南京军区政治部主任刘永治、总政治部秘书长程宝山、国防部外事办公室副主任张邦栋等同机抵京,访问,32,256
他们认为，在足球市场化运作逐渐完善的今天，球迷们能够体谅俱乐部的决定，理智地对待足球队被整体“出售”的现实,出售,2,491
当他接到表哥的电话的时候，一下子想起来今天是表姐的大喜之日，满不迭地连声说抱歉,电话,15,2163
这个部长级会谈曾经一度中断，因为北韩要求韩国在北韩成立发电厂，以缓解他们严重的能源短缺问题,会谈,21,1705
