,sentence,trigger,event_type,tag
389,"Colonel Patrick Lang, retired, United states Army, thanks for your insights. A man who has been to Baghdad many times and can tell us with great knowledge exactly what it's going to be like to fight on those avenues in that sprawling city of Baghdad - Judy.",fight,0,179
1255,"The company's performance wasn't all that hot even before the CEO went to prison, and until very recently the stock price reflected that. But this is a one-person company, and at this point it's saying the 'Martha' brand is worth some $1.31 billion. If anything, the value of the brand should decline over time, inasmuch as she's rather, well, mortal. And she's been convincted of obstruction of justice. This runup is based on the inexplicable hope that now that the head of the firm and the embodiment of a much-resented brand is no longer doing time for lying to the Federal government, they'll be able to really coin some money. I just don't know what to say.",went,27,1981
751,"Not only is she developing the Salamander Inn & Spa in Fauquier County, and not only is she a major philanthropist, but she was a co-founder of of Black Entertainment Television with her ex-husband Robert L. Johnson. If you haven't figured it out yet, she is an African-American. I know that doesn't fit the dominant, minorities-are-still-disenfranchised narrative of the mainstream media. But the Old Dominion has come a long way, in my humble opinion, when the biggest campaign contributor in the state is African American.",was,6,1853
1583,"After weeks of delay, Turkey relented and agreed to let combat aircraft fly over its territory. At the same time, however, Turkey sent 1,000 troops into northern Iraq, and the government said it would send more to prevent Iraqi Kurds from creating an independent state. The United States strongly opposes any unilateral move by Turkey into northern Iraq.",sent,32,1214
1447,"With 4:41 left in the fourth quarter and the Packers down by 11, Favre hit Robert Ferguson with a 31 yard strike near the left hash marks. Coming from the other direction, Jacksonville DB Donovin Darius unloaded chin high on Ferguson with a vicious clothesline. Remarkably, Ferguson held on to the ball, despite being disjoined from his helmet on the hit. After many minutes lying motionless on the field, Ferguson was finally removed via stretcher, giving a thumbs up to the crowd on the way out.",removed,32,1961
838,the people that gave birth to you are not necessarily your mom and dad. they're the ones that love you and care for you. we are.,birth,11,634
1068,"In a separate action against the Monitor, security officials went to its editorial offices on Thursday night and told the management that it was being closed until it paid a fine of 15 million Sudanese pounds (about US$6,000) that was outstanding from a court conviction last year.",fine,20,1387
1531,"reporter: the twin missions to hunt for signs of life are set for a journey of a quarter billion miles, carrying identical red planet rovers. they're the size of golf carts. they will enter the atmosphere on opposite sides of the planet in january and then deploy parachutes and air bags to cushion their arrival on the rust-colored surface. in 1999, the mars polar lander was supposed to arrive alive by using",journey,32,600
909,Sure. They will be happy to answer it. We started work on our letters the last week of February and worked on them the first week of March and sent them out a few weeks ago. And they got the letters pretty quickly over there. But I think this helps me stay closer to my brother.,letters,15,276
878,"Reznik said an initial appeal he lodged the day Pasko was freed never reached the presidium of the Supreme Court, according to Interfax. The lawyer said the court's military board had refused to launch proceedings on the appeal.",freed,14,1304
166,"Well, in other words eh, in other -- when -- after World War Two when they when -- basically the state of Israel was formed",World War Two,0,886
731,"But uh no i- the -- uh the I think well first of all, you know I agree with you, I think cheating on your wife's pretty low.  But I think what happened i- it's living the b- uh living large.  You could tell both of them uh you look some of the things they had, you know,  he had a few bucks or so. (()) finish, things were getting him down, uh you know, you know how it is, day after day though -- M- marriage isn't all that wonderful.",marriage,5,754
328,"reporter: in days of yore, an english prince, a king in waiting would be charging off to battle on a horse, just before his 21st birthday, prince william is chasing a polo ball, such of what has become of the british monarchy over time. buckingham palace released his pictures of william, brother harry and their father, prince charles in what some see as a skilled marketing campaign to sell the monarchy to the next generation of britains. after 15 years of scandals and embarrassment, many see prince william as the house of windsor's only hope.",battle,0,649
926,""" and we put in a call to the agency. we were going. and we put a lot of trust in our agency. and they were great. you know, unless we were absolutely stopped, we were going.",call,15,639
399,"We know that some of the American troops now fighting in Iraq are longtime veterans of warfare, probably not most, but some. Their military service goes back to the Vietnam era. Others, though, are novices. So what is it like for them to face combat far from home",fighting,0,102
1299,"The trial will start on March 13, the court said.",trial,29,1161
829,"reporter: there are also 106 new dads, and among them is the dad of look at this beautiful boy who just woke up. this is -- this is trebian. mom is felicia, typhus is the new dad. you were telling me this little beautiful boy was born two days after deployment.",born,11,573
157,"I know during the war, before the war, you were very concerned about the position of the Syrian government, cooperating with Iraqis, having an open border, if you will. Has the situation improved, especially in the aftermath now of the secretary of state's meeting with Bashar al-Asad",war,0,295
823,after deployment. he was born on november 4th.,born,11,574
1470,"a wildfire in california forced hundreds of people from their homes. the fire, near the historic state park started yesterday when a trailer, hauled by a pickup, ignited on the golden state freeway. the fire consumed more than 500 acres is only about 35% contained. no injuries have been reported thankfully hat this time.",forced,32,677
1562,"a palestinian terrorist leader wanted for a deadly 1985 cruise ship hijacking is in u.s. custody in iraq. u.s. sources tell cnn mohammed ""abu"" abbas was captured about 50 miles west of baghdad. palestinian sources say he had tried to flee into syria, but was turned away at the border. in october of 1985, four hijackers under his command took over the italian cruise ship ""achille lauro"" and killed a wheelchair- bound american tourist, leo klinghoffer. abbas was convicted in absentia by an italian court and sentenced to five life terms in prison.",flee,32,326
370,I believe Bind Torture Kill = BTK. My point about taking so long ... for thirty years people didn't feel safe. The LE has an obligation to keep safe. I bet the neighbors are going through hell.,Torture,0,1662
1077,"Russian President Vladimir Putin's summit with the leaders of Germany and France may have been a failure that proves there can be no long-term ""peace camp"" alliance following the end of war in Iraq, government sources were quoted as saying at the weekend.",summit,21,1025
652,"Indonesia relied on Soviet military assistance in the 1950s under Megawati's father and founding President Sukarno, but these were severed after the anti-communist Gen. Suharto seized power in 1965.",seized,3,1291
75,"Israeli soldiers shot and killed a 16-year-old Palestinian boy and wounded a 7-year-old boy after opening fire at stone throwers in the Tulkarem refugee camp in the West Bank on Tuesday, Palestinian hospital officials said. The army said troops fired, and hit a boy, after a Palestinian youth threw a molotov cocktail.",shot,0,1422
709,"Some Arab countries also want to play a role in the stability operation in Iraq but are reluctant to send troops because of political, religious and ethnic considerations, the official said. Countries in the Gulf Cooperation Council have offered to donate money for the effort.",donate,4,1372
1289,"All right. Uh, what do you know about this Scott -- Peterson trial",trial,29,838
620,Toefting transferred to Bolton in February 2002 from German club Hamburg.,transferred,3,1255
342,"a national weeklong terror drill began in seattle and an industrial lot in the city. straun with smashed cars, buses and other debris representing the hypothetical damage from a fan that sized radioactive dirty bomb. the test designed to measure the responsiveness of emergency workers to a terrorist attack. it's been a year and a half since a series of anthrax attacks killed five people. no one has ever been arrested in connection with that case and the fbi is considering draining a maryland pond relating to evidence for those unsolved attacks. kelli arena reports.",terror,0,524
400,"And secondarily, what about countries like France, Germany, and Russia, which opposed the Bush administration's war plans, do you want them shut out",war,0,310
535,One million,killed,1,1751
38,"Yeah I know.  But it just amazes me that, uh, I think it's ridiculous how publicized -- how much publicity it got because -- I mean there's like human rights violations going on all around the world. I mean there's like, genocide in Sudan right now but like, nobody talks about that. That's like (())",genocide,0,791
237,I think -- I think Rudy Giuliani was a great mayor -- for nine eleven.,nine eleven,0,745
1582,"Exactly. Exactly, they would definitely know.  Well, you he- you hear these people saying that, I mean, that are in the mili- military you- you -- that it sa- you- some people who have come back home already and everything that they don't agree with the whole thing. I mean, it's -- that's- that's pretty --",come back,32,923
194,"Iraq, however, took the report as an endorsement of its work and argued not only that war plans should be canceled, but that sanctions imposed on it by the Security Council for its 1990 invasion of Kuwait should be removed.",war,0,1166
88,"Huge explosions were heard in different parts of Baghdad and air raid siren sounded throughout the capital city, they said, adding that Iraqi anti-aircraft artillery had begun to fire back.",fire,0,1505
391,It said the U.S. invasion of Iraq taught it that ``a war can be averted and the sovereignty of the country and the security of the nation can be protected only when a country has ... a strong military deterrent force capable of decisively repelling any attack to be made by any types of sophisticated weapons.'',war,0,1395
1280,The Central Jakarta District Court began Wednesday the trial of Muslim cleric Abu Bakar Ba' asyir who has been in custody since last October on charges of treason and immigration offenses.,trial,29,1523
1179,"Toefting was convicted in October 2002 of assaulting a pair of restaurant workers during a night out with national squad teammates in the capital, Copenhagen. He was sentenced to four months in prison, but appealed. The hearing was scheduled for April 10.",sentenced,22,1251
1412,"you're looking at mars. this shows some of the layers effects scientists find so interesting, captured by the mars global surveyer, which has been in orbit since march of 1999, one of the more successful missions nasa has ever staged to the red planet. only one out of three missions succeed. nasa hopes they'll do well today with the launch of the first of a pair of identical rovers headed to the red planet. they'll arrive in january. about the size of a golf cart. they'll do some poking around for signs of water. past or present. every 26 months, mars and earth fly in close orbital formation. it's only then a mission to the red planet is possible. this time, mars is closer than ever.",missions,32,599
1461,"Earlier this month, the Turkish parliament shocked the United States by rejecting the deployment by just four votes. Erdogan has hinted that he will resubmit the resolution for approval, which could take another week.",deployment,32,1177
597,"Well,  um, I would- I would have to start- -- I would have to start, generally, in stating- -- stating what I think is the problem and -- -with the Middle East and what- For me, one of the major problems is the fact that -- the -- United States government gives so much aid to the state of Israel.  In which,  the state of Israel buys -- many expensive military weapons,  ah, which is used to -- oppress and -- to kill a lot of Palestinians.  So, for me, that's -- the- that's essentially the root of the problem.  And, um, Yasser Arafat was kind of in a difficult position, because you have these,  um, incredibly -- oppressed and in some ways imprisoned,  uh, Palestinians,  and if -- Arafat hadn't, um, tried to stand up -- and help them and- and fight for their rights, then -- m- they wouldn't have respected Arafat,  but then again, you know, he couldn't be too friendly with the West,  um,  and, um, and so he did the best he could, I think. It's a difficult -- leadership role.",buys,2,815
623,"Just reported from AP that Condi Rice has been chosen by President Bush to become the new Secretary of State for his second term. I agree with his choice and think she will make a much better Secretary then Powell did. Her views are much more in step with the President then Powell, although he was a true soldier and carried the message.",chosen,3,1896
1527,"Tuesday, July 5th - Leave early and drive to Niagara Falls, NY - 467 miles - Stay in Niagara Falls",Leave,32,1710
1114,"Well yeah, I have an office. Uh not me personally, but we uh we all meet there and we we have our little sales meetings every morning.",meet,21,688
753,"Reformist MDP members, however, vowed to launch a preparatory committee next month and to make ""tangible progress"" in the process of forging a new party.",forging,6,1082
487,"Yeah, okay, um, ((lot of question)) -- and, um,  I- I don't think it was poisoning, even though I haven't read -- a lot of articles about it. I think-",poisoning,1,884
581,Neither club immediately returned phone calls from The Associated Press to inquire about the buyout talks.,buyout,2,1173
1418,Tens of thousands of destitute Africans try to enter Spain illegally each year by crossing the perilous Strait of Gibraltar to reach the southern mainland or by sailing northwest to the Canary Islands out in the Atlantic.,crossing,32,1377
1308,He is being tried in Greece in absentia.,tried,29,1473
68,"Jamie, these descriptions of the weakening of the Republican Guard begin to bring back memories of the first Gulf War 12 years ago. Is there a chance that coalition forces could, at this point, be overestimating the strength of what's left of the opposition",War,0,171
1286,The trial by a Ho Chi Minh City court was seen as a litmus test of the communist government's resolve to fight widespread corruption.,trial,29,1455
961,"and, ah -- I mean, and, and a lot of it has to do -- and then, I just didn't know much, John Edwards seemed nice, but he just, you know, he was just, he just got elected to the Senate,  and,  I wasn't really familiar too much with hi- I mean, I think it's great that he got into the vice presidential role, but -- again, it's the whole parties that I'm really not really I don't like their policies.",elected,17,851
577,"I was hoping for another incredibly drawn-out story, full of antitrust drama, lurking potential bidders, and contentious confrontations between executives. And then MCI just sort of accepted a Verizon deal without really bothering anybody . Clearly, their corporate culture has suffered -- 25 years ago, MCI was the brawling upstart in the telecom industry, constantly challenging AT&T's right to exist, much less to monopolize the phone system. And now, they're swallowed by Just Another Monolith. I expected better -- meaner and tougher, sure, but better nonetheless.",swallowed,2,1999
105,"this is one technique, one possible way u.s. forces might seize a bridge, a bridge that might be defended by iraqis. let's look at the animation. typical scenario there. it doesn't really matter for this scenario that we're laying out here. this would be representing m1-a1 tanks coming towards the bridge firing.",seize,0,377
33,"uh and just wipe it out,",wipe,0,718
521,"10. Death of Arafat (2) PLO leader PLO leader Yasser Arafat died in a Paris hospital last week, after a lot of controversy surrounding his illness and death.  What do you think caused his illness, and could it have been something malicious (like poisoning)",died,1,894
1174,"Yeah.  And they're making the determination if -- in fact he will get the death penalty, or life in prison.  So that's what's is up in the air right now.",get,22,840
723,"""I am humbled by the support of so many citizens in the 42nd District who are voting with their pocketbooks for a change in leadership. While we are very pleased with this outpouring of support, I am going to keep doing what I have been doing: listening to my neighbors and working to make our communities in Fairfax County a better place to live, work and raise a family,"" stated Werkheiser.",support,4,1862
624,They were doing all these talks in Camp David and and it should have just continued when Br- Bush came into office.,came,3,897
1108,"In addition to a possible address, they have discussed a presidential news conference and a Cabinet meeting as ways for Bush to communicate his plans to the nation next week.",meeting,21,1155
1254,"No, it was a joint effort by Pakistan. Why do we want to sever that relationship with this idiotic war in Iraq",it,27,64
301,"Before the war, Iraqis depended on government rations distributed under the U.N.'s oil-for-food program. The 7-year-old program allows Iraq to sell unlimited quantities of oil to buy food, medicine and other humanitarian goods. The proceeds from oil sales are deposited in a U.N.-controlled escrow account.",war,0,1245
845,"The Pakistani supreme court last year aquitted Ayub Masih, who had denied uttering any word against Islam or the Prophet Mohammad.",aquitted,12,1072
1035,And -- so it's kind of up in the air now -- because he -- I believe he got first degree murder and -- um and then got manslaughter on the baby.  So he didn't get both first degree murders.,got,18,843
619,"i think many people have watched thisstration in action and watched chis tee whitman in action. the mystery is that she took the job in the first place or didn't leave earlier. she was quite a misfit for this administration, and she showed that over and over. she was not good at all at communicating the administration's message to the public and certainly to the environmental groups and she was even worse at bringing the epa bureaucracy, the epa environmental policy makers' message to this administration because she saw herself undercut over and over.",took,3,543
888,"reporter: you know, judy, they have been learning more and more as the day goes on. the focus is clearly not on their treatment or their capture but their freedom. i was on the phone with michelle williams yesterday, when she saw those first pictures on cnn of her husband, and she sleeked with delight. for three weeks she's watched and waited for some news. the only other pictures was his abandoned helicopter. she knew instantly when she saw it, because of the 1st cavalry emblem and special markings it was his. it's been a long three weeks. today is date she was waiting for. ihood a chance to spend some time with her yesterday. this morning on ""american morning"" she told us about what her reaction was when she saw those first pictures of her husband free.",phone,15,435
431,"Well, I I'm a New Yorker, and I got to tell you that I I think nine eleven I I think -- basically made him.  Other than that, I think he was a little too decisive.",nine eleven,0,746
1199,"These men had relatives murdered here. So desperate are they to tell their story that they began reenacting what they and their brothers and friends have suffered. The hook in the ceiling is for one purpose only, another hook in a different cell and a different form of torture. Saddam Hussein controlled Iraq through fear, torture and execution. And it happened here to tens of thousands of Iraqis that Saddam's secret police deemed dangerous. This man cowered for months, crammed with 300 mothers into a huge cell. Hamid Fatil (ph) may look like he's acting, but he was tortured here, along with his two brothers, who were executed. This man was here, too, with his brother.",torture,24,258
1535,"But, uh, at at least for the ceremony in Egypt I think, uh,  I can understand that no one would want to go into -- Palestinian territory. I mean,  they it was total chaos there.",go,32,881
330,"U.N. inspectors went back to Iraq for the first time in four years in late November and discovered no weapons of mass destruction during 3{ months of searching. Secretary-General Kofi Annan ordered all U.N. international staff, including the inspectors, to leave Iraq just before the war began on March 20. He has said he expects them to return.",war,0,1344
719,"As those discussions were taking place behind the scenes, Fleischer told reporters that Turkey would lose a proposed $15 billion aid package unless it admits troops into the country for the Iraq conflict.",aid package,4,1156
1210,"The aircraft's censors detected the unknown type of laser while it was flying near the heavily fortified frontier that divides the two Koreas, the U.S. military official said on condition of anonymity. No one was injured and no equipment was damaged in the incident.",injured,24,1390
998,"The US and Iraqi authorities, as well as the United Nations, have hailed the election as a ""victory for democracy"".",election,17,1725
1295,How closely did you follow the trial and what do you think of all of the media coverage of the trial,trial,29,760
661,"Who are they, and why do you think they should be appointed",appointed,3,711
1559,Defense Secretary Donald H. Rumsfeld said Tuesday there had been talks that Turkish troops could be deployed ``a short distance from their border to try to avoid refugee infiltration.'',deployed,32,1183
114,We watched a nighttime raid on the homes of Ba'ath Party officials and Fedayeen militia. These are men singled out by locals and believed by army intelligence to be behind much of the brutality and corruption. Most are not accused of specific crimes but suspected of being part of the state-sponsored climate of fear.,raid,0,225
969,"Attorney General John Ashcroft, for example, is a career politician. He lost an election to a dead man. Secretary of Homeland Security Tom Ridge is another career politician who was passed over by Mr. Bush for the vice presidency. And Deputy Secretary of Homeland Security Asa Hutchinson is yet another career politician and a graduate of the disgraceful Bob Jones University. Apparently, Mr. Bush only turns to professionals when it's really important, like political consulting.",election,17,1
192,"i don't think it's affecting our business as much as i was worried that it would, but you never know it's going to happen. if there's any kind of terrorism that happens here, i think that would definitely put a damper on everything.",terrorism,0,388
128,"Despite a security crackdown over the weekend in Baghdad and an announcement that some 7,000 policemen had returned to their jobs since the end of the war, ordinary Iraqis still felt unsafe on the street with gunfire rife and police a near invisible presence.",war,0,1115
534,"But as for the assault weapons ban issue, the man accused of the brutal killings, Chai Vang of St. Paul, Minn, used a Russian-built Saiga 7.62 mm, SKS semiautomatic rifle.",killings,1,1793
662,"Then, all current contracts need to be voided by the end of the season in 2006. That means no team would own any player, and the owners would be free to sign whomever they'd like using the ""fiscal restraint"" they all droned on and on about all year. That way, they'd only pay as much as they could afford...right",sign,3,1979
681,"The world's most powerful fine art auction houses, Sotheby's and Christie's, have agreed to pay 40 million dollars to settle an international price-fixing scam, Sotheby's said.",pay,4,966
384,"We finally managed to get out by car. Here in the north, Iraqi tanks and guns are still firing, and the American effort is looking a little ragged. Julian Manyon, ITV News, on the northern front.",firing,0,251
936,"The turn of the new millenium actually witnessesed a thaw in the relationship between the National Carousel Association and American Carousel Society, as newer and younger leadership took over from the founding generation. The two groups decided that the bickering between them was wasteful, conterproductive and pointless. There was talk of a (re)merger but the regulations governing non-profits prevented that. However, it was decided that NCA and ACS hold joint conventions to save on costs to both the clubs and the members.",re)merger,16,1706
594,"i think the stock will be weaker today. again, you know, the stock has drifted below $10. it's been in the neighborhood for a while. i done see the thing going down a lot. interesting point here also, people are suggesting he may be raising this money to buy those atlanta sports teams that apparently are on the block.",buy,2,499
925,"and now joining us by phone from liverpool with more on the harry potter heist is caroline forham, press officer with the mercy side police. it's come to stealing childrens books, is it",phone,15,625
932,"All right. We're going to take that quick break. Stand by, Senators. We have a lot more ground to cover. Senators Lugar and Dodd will be staying with us. They'll also be taking your phone calls. LATE EDITION will continue right after this.",calls,15,311
307,"Well, I mean the Iraqi people have been the primary victim from the whole thing. Yeah my family, you know, still in fear. You know they stay in one room. They boarded all the - all the windows and they built with a brick one of the windows facing the street. I mean yes, you know, my prayer to them but we can only do so much. Hopefully it will be a short war. It will be attack the Iraqi regime. We can live in liberty and freedom soon.",it,0,152
1359,"He talks his two running backs and two stellar DB's into staying, then knocks out 15 straight wins and signs one of those super iron-clad contracts that will pay him 14 million over seven years, and if Auburn even thinks...THINKS about letting him go, they owe him every penny. I don't even think there's a morality clause. He could have sex with an endangered Bald Eagle, and they'd STILL have to pay him. And that's the way it should be.",letting,31,1972
427,Mhm.  I'd say my overall opinion is that -- this conflict is way past that time.,conflict,0,869
1571,"jeff rothfeder. thank you for joining us. looks like it will be some time before we make our way to mars. that's it for us. but before we go, a look at what's coming up next week. a controversial incinerator just about ready to destroy weapons at an anniston, alabama, military facility. what might be the risk to people downwind. that story and much more coming up next week. coming up next on ""cnn live sunday"" a look at america's storage of gas. that's followed by ""people in the news"" profiling harrison ford and harry potter. at 8:00 eastern, cnn presents road to baghdad.",way,32,656
87,"israel and the united states say arafat has not been tough enough on terrorism, and have attempted to force him out of the current peace process. the prime minister known as abu mazen must now contend with the rejection of side by side palestinian and israeli states. a cornerstone of the new peace plan. he's trying to get hamas to co- exist with israel. conservative israelis are skeptical.",terrorism,0,613
231,"letdownch* * at the helm came in on final to the ""uss abraham lincoln"" and landed hitting the fore wire, a safe trap. one of 12,675 takeoffs and traps that have taken place aboard the ""uss abraham lincoln"" during this 10 month long deployment, the longest deployment of an aircraft carrier in the u.s. since the vietnam era. after the president came aboard, he then spent a considerable amount of time talking to many of the young men and women on the flight deck, taking photographs with them, still wearing his flight suit throughout much of that period, talking to them and again this evening, he will be issuing a major address to the american people reguarding the end of major combat operation. white house aides calling it an important moment. he -- after landing and taking a brief tour of part of the ship, he also went out on to the flight deck and observed some of the flight operations of some of the f-18 aircraft that are now leaving these aircraft, headed to lamore after this 10-month long deploy am. wolf",combat,0,488
354,"Palestinian security forces returned Monday to the positions they held in the Gaza Strip before the outbreak of the 33-month Palestinian uprising as Israel removed all major checkpoints in the coastal territory, a Palestinian security source said.",uprising,0,1142
1167,What kind of sentencing should Peterson receive,sentencing,22,779
1304,"Slobodan Milosevic's wife will go on trial next week on charges of mismanaging state property during the former president's rule, a court said Thursday.",trial,29,1158
841,"According to the criminal complaint, Montgomery traveled about 40 miles to Topeka, Kan., on Thursday to go shopping. Her husband received a call from her saying she had gone into labor and given birth. The next day, authorities say, Montgomery confessed that she strangled Stinnett from behind, cut her open, removed the baby and cut her umbilical cord. I don't understand how we can call this fetus-thing that was ripped from a mother's womb a ""child"" or ""girl"" in a society that sanctions partial-birth abortion. If you can't charge someone for killing a fetus via abortion during the eighth month, then surely you can't make a big deal about a woman who kidnapped a fetus that survived the knifing.",removed,11,1807
1193,"Later, when he was wounded and trapped behind enemy lines in Korea, Staff Sergeant Charlie Rangel led 40 men, fighting their way to safety. He won a Bronze Star.",wounded,24,112
822,"O'Neal had said he could not rule out missing a game to witness the birth. The due date was April 27, the same day as Game 4 of the best-of-seven series between the Timberwolves and the Lakers.",birth,11,1333
1584,"I live in Austin, Tx, and being one who's only been as far as Nashville, Tn two friends and I are planning a trip to New England for a week. I'd love some insight or suggestions on our trip itinerary --",been,32,1708
1380,"a week after these pictures surfaced, and after saying he'd fight for his job, larry eustachy resigned as basketball coach at iowa state. the damage to his credibility was too much after eustachy admitted he partied with students at rival schools, and that he's an alcoholic. he seeped a $960,000 buyout from the university.",resigned,31,335
1396,"uh, it was a real small place. It- they w- had to go up there about some natural gas rights or something like that.",go,32,917
517,"but this next story makes the case the slogan doesn't go far enough. a better one might be, people do and people die and still other people search their souls and struggle for redemption. the story from ""newsnight's"" beth nissen.",do,1,515
1274,"Wynn Resorts , another owner of the lucrative Macau license that captured investors's attention during the IPO, illustrates this well enough: Steve Wynn, the company's founder, made a gigantic fortune when he bet his company's future on Atlantic City. When investors saw his $160 million all-debt investment turn into a $440 million asset in just a few years -- his net worth took a similar, though even less gravitationally-bound arc, rising from $2 million to $75 million durign the same time) they all rushed in. Needless to say, Wynn sold when everyone else bought, and he made it through the cannibalizing near-collapse those casinos faced in the early 90's.",collapse,28,1988
1354,"Doctors are leaving practice because of insurance premium, right",leaving,31,40
646,"eh -- And uh -- and then uh with Condoleezza Rice. They're appointing her ta- to a new position, and I was surprised about Ashcroft.",appointing,3,726
855,"Az troubles again in 2004, she serves 6 months , then the day before she is to be released to do 5 yrs probation her in az, fla shows up and takes her to fla faceing her original 1999 charges which are still open (she failed miserably at probation) I think they want to give her 3 years.",charges,13,1634
1140,"Lauren Rouse here. I'm in charge of getting everyone excited about contacting organizations so Marcella can meet with them. Next week we want to have as many dates as possible set up for her as we can, so we are asking y'all to please talk to your organizations to see if they would be interested in having Marcella come and speak. In the near future we will be expanding this to include all the other organizations that we can contact, but we are just keeping things safe for now. If you are interested in helping out with contacting organizations then please let me know, cause I need all the help I can get. There are 6 sub committees under the organizations committee:",meet,21,1616
693,"You know we've come along way when African Americans aren't just winning elected office, as former Gov. Douglas Wilder did, but they're bankrolling candidates for office-- white candidates for office. Johnson's donations last year included $287,490 for Domocratic gubernatorial hopeful Tim Kaine.",bankrolling,4,1854
173,"3. Regardless of what happens, the U.S. has a direct ethnic connection to China by way of Hmong, which will secure CIA-insurgency operations. Unlike the current situation in the Middle-East, where the number of Arabic-speaking CIA agents are few, there will be plenty of Hmong/Chinese-speaking CIA agents for disposal and use in the looming Sino-US war. Perhaps by route of Thailand, if LPDR does not cooperate, the US will incite insurrection in the southern provinces of China. These provinces have a lot of Hmong people, and have been known to be the fiercest opposition to Chinese rule (aka Remember the Miao Rebellions",insurgency,0,1742
104,"In an address Saturday, Information Minister Mohammed Saeed al-Sahhaf told Iraqis that fighting had been ``fierce.'' He said most of those captured by allied forces were civilians, not soldiers. He claimed Iraqi troops had destroyed five tanks.	 He said more than 200 Iraqis had been injured, including women, children and other civilians who were being treated at five hospitals in Baghdad.",fighting,0,1218
125,"bombardment of baghdad continues tonight and over the past 20 minutes, explosions rocking baghdad, central baghdad southern baghdad, the outskirts of baghdad, and importantly, as the coalition forces, principally u.s. army forces, move against saddam hussein international airport -- which is about ten miles outside the center of baghdad -- those explosions are intensifies. if we may again going to the wide screen of what appears to me to be abu dhabi television that is providing this picture, 3:20 a.m. in baghdad, live pictures again. that it is very difficult to discern whether or not that is, in point of fact, the missiles that we have become accustomed to striking baghdad and its environs, or whether it is the large 2,000 pound jdam bombs that have been striking targets sclected by the coalition in baghdad, or whether these flashes now represent artillery barrages as fighting continues to take control of the -- to take control of saddam international airport. again, correspondents, our correspondents with the -- embedded with these forces, with them in the field, saying in some cases they can see the lights of the skyline of baghdad. over the course of the past two weeks, since this war began, something like 23,000 coalition sorties have been flown, and over the course of the past 24 hours, 1,900 sorties flown. and we are told that, of those, 850 were strike sorties, motor vehicle most of those directed against the republican guard. as you know, the republican guard just outside baghdad to defend the city and saddam hussein's regime, in principal. two of those divisions absolutely devastated, destroyed. the so-called medina division, and the baghdad division. the baghdad division, of course, getting its name from the fact that it is the republican guard division designated to defend principally baghdad. four other divisions we are told have also been hit very, very very hard and are principally trying to reinforce units va also been hit very hard. so we are seeing a lot of what some of the military officials are calling a method that does not seem to be directed by one person from the center of baghdad. and that raises questions, questions that have been in front of us since that first strike on march 19th against the location that the cia military intelligence thought was a place where saddam hussein, perhaps his sons, were. that preemptive strike they put, i think somewhat elegantly, trying to strike at the head of the snake. new explosions rocking parts of baghdad tonight. we will continue to monitor that. we, of course, will bring the word to you just as soon as the army and coalition forces do take control of saddam hussein international airport, just on the outskirts of baghdad. in southern iraq today, british forces also moving closer to the center of the second largest city in iraq, basra. they captured an iraqi base in an unused factory in the southern suburbs of that city. tim hewart of itn reports.",bombardment,0,412
896,"Also in Washington, Turkish Ambassador Farouk Logoglu told The Associated Press that the U.S. and Turkish militaries were holding informal discussions on the use of Turkish airspace.",discussions,15,1178
478,"I i don't know. I never really got the whole -- watching it on ~TV and and getting into the whole -- mystery of it because, in the end, the woman's dead and so is her child and -- and -- there's -- really no way of changing that I guess.",dead,1,789
190,"we've got to deal with the person who's going to be getting off here. as you've been watching throughout the morning, you've been seeing that balloon. just getting back from spending a tour in kuwait during the war. betsy is going to be leaving us. she is jumping ship. she is going on her own.",war,0,496
628,"reporter: he bought the machinery, moved to a new factory, rehired some of the old workers and started heritage programs. it's been near lay year since the last programme was manufactured at the old factory. this one is bellmore oh 1, the first to cull off the new line and destined for harrod's. it was hand delivered to harrod harrod's by the new chief executive nick paxton who wouldn't trust its futcher to anyone else. the store is now",rehired,3,346
689,"hamas plays on the palestinian authority's failure to produce. its basic message, the palestinian authority is corrupt, it fails to deliver, hamas is not corrupt. hamas cares about the person on the street and it does deliver. unfortunately, those same charitable organizations, those same charity committees that funnel the funds to needier palestinians, also serve to support terrorist attacks.",funnel,4,612
816,"Thieves had blown a hole in the vault and dropped children in to bring out fistfuls of cash. As word spread that the robbery was under way, Iraqis gathered, saying they had accounts at the branch, and a riot broke out.",riot,10,1312
321,"For weeks, North Korea has claimed that the United States plans to attack it after Iraq. Washington says it seeks a diplomatic end, but has not ruled out a military solution.",attack,0,1269
1110,"At the same meeting Pyongyang confirmed it had nuclear weapons, and threatened to prove it with a ""display.""",meeting,21,1075
189,"These include not only Iraq's disarmament and the future of sanctions but the U.N. role in Iraq now that the fighting is over, control of Iraq's oil revenue, and lucrative reconstruction contracts.",fighting,0,1342
1427,"The people of Tikrit are saying Saddam's family left that city three days ago, well before the Americans arrived. Saddam's clan is said to have left for a small village in the desert. 12:19 p.m.: CNN's Ryan Chilcote reports the 101st Airborne 2nd Brigade finds 11 of what an Army general describes as chem-bio labs buried to avoid detection near Karbala, each of the structures 20-by- 20 feet. And the military also found over 1,000 pounds of documents buried at the site. U.S. inspections will continue there.",left,32,288
