tag,sentence,trigger,event_type
305,"I have no evidence to the contrary. And certainly, they have used them in the past. There's no doubt about that at all, both in Iran and against the Kurdish population. So, whether or not they find them in the exact form that many would assume they would be the case -- possibly some got out of the country. It wouldn't surprise me to hear that. But I'm going to work on the assumption, based on the intelligence that has been gathered, that the weapons of mass destruction existed.",used,Attack
306,"Well, you know, they've used it in the past, and I think the point that Senator Lugar just made -- certainly having the intellectual capacity to do this was proven already by the fact they've used them in the past. So, I wouldn't dwell on that point specifically, because Saddam Hussein clearly was a producer and a user of biological and chemical weapons. He clearly was on the track to acquire a nuclear capacity, and the world is a safer place today because he's not ruling Iraq.",used,Attack
307,"No, we have full credibility in Iraq. We've prosecuted with the alliance a successful liberation of the Iraqi people, and we have clearly caused Saddam to destroy weapons of mass destruction, or at least to suppress evidence of them. That is a victory of sorts.This is a facet that's important. It's important in the war against terrorism that we rout out whatever is there and, likewise, the people involved, because they might help supply al Qaeda or other terrorists along the trail.",war,Attack
308,"Well, it's important. But I don't think it's as important as finding Osama bin Laden, for the simple reason that I don't think Saddam Hussein today poses any threat, wherever he is. If he is alive, obviously, he doesn't pose the kind of threat that an Osama bin Laden does with his cellular network around the world to reactivate al Qaeda and international terrorism. So, it would certainly be good to know where he is. It would be, certainly, to know, to apprehend him, to bring him before a court of justice. But I don't think it's absolutely critical for the ultimate success of this mission that we apprehend him or find out what happened to him.",terrorism,Attack
309,"No. Well, what we've heard the numbers of reconstruction running around $100 billion. We put $2.5 billion in, in the last supplemental appropriations bill. So it's going to be costly. These RFPs, these seeking bids on various contracts are rather costly, and so it's going to be expensive. And clearly the responsibility is going to fall principally on the United States. Now, I would hope that sooner rather than later we could see a civilian government emerge in Iraq, a democratically elected one, that there'd be more cooperation from the international community, on both the peacekeeping side as well as the political restructuring that's necessary in Iraq. And to the extent we can move that along more quickly, I think we're all going to be better off. Being the sole, or almost the sole power there, both in terms of reconstruction and politically, exposes us to great vulnerabilities.",emerge,Start-Org
310,"And secondarily, what about countries like France, Germany, and Russia, which opposed the Bush administration's war plans, do you want them shut out",war,Attack
311,"All right. We're going to take that quick break. Stand by, Senators. We have a lot more ground to cover. Senators Lugar and Dodd will be staying with us. They'll also be taking your phone calls. LATE EDITION will continue right after this.",calls,Phone-Write
312,"the search for a small plane that disappeared sunday in massachusetts has a bittersweet ending. three young boys,ages 2, 5 and 10 survived and are in critical condition after spending in 18 hours in the cold. the father, who was piloting the plane, also was rescued, but died late yesterday at the hospital. the boys' mother and two other brothers were killed. officials say the pilot reported ice on the plane and planned to land in massachusetts when the plane left radar. aviators described the scene as they approached it from above.",critical,Injure
313,"the family had been heading to new hampshire from lakeland, florida when their plane went down.",heading,Transport
314,"airlines are getting flyers to destinations ontime more often. the top ten air carriers arrived ontime more and cancelled fewer flights in january than the month before. a government report says the improvements are the result of changes in air traffic controls, and a dropoff in passengers. despite operating under bankruptcy laws, united posted the best on time performance. united also cancelled the fewest flights. still united lost $382 million in january. and one other note of improvement. airlines reported fewer complaints about lost, damaged or delayed luggage.",getting,Transport
315,turning to wall street. disappointing auto sales are denting the shares of the big three. of course there are ongoing fears about terrorism and a war with iraq. the dow has slipped 116 points. the nasdaq is@ down three,terrorism,Attack
316,"lawyers in texas are trying to keep their client from becoming the 300th person executed in the state since 1982, when texas resumed capital punishment. they're asking the supreme court to block tonight's scheduled execution of delma banks. banks was convicted of shooting and killing a 16-year-old at a park in 1980. his lawyers say his trial attorney did a bad job and the prosecutors improperly kept african americans off his jury. he'd be the 11th killer put to death in texas this year.",execution,Execute
317,"in northern iraq, u.s. warplanes hit targets including a ridge east of mosul, where iraqi troops have been entrenched. two f-14 tomcats struck the targets, the same area was a site of heavy bombing yesterday. after today's air strikes, 13 iraqi soldiers abandoned their posts and surrendered to kurdish fighters.",hit,Attack
318,"from these special warfare boats. one concern these men have in the waterways of iraq is the threat of an ambush, so there are five weapon stations on the special operations craft. they include grenade launchers and machine guns.",ambush,Attack
319,that's what we're doing as we come through here and completely search theses have else to make sure there's no one lurking on there with weapons or rpgs or some other pad to take down helos that are flying by or any other ships that are coming in through here.,take down,Attack
320,"u.s.-led forces are approaching iraq's capital after destroying the medina and baghdad divisions of the republican guard. we'll have that story and all of the latest developments in ""operation iraqi freedom"" just two minutes away. i'm kathleen kennedy. you've been watching cnn headline news.",approaching,Transport
321,"central command says it is investigating iraqi allegations that u.s. attacks are to blame for hundreds of civilians casualties in hillah. that's about 60 miles south of baghdad. a member of the international committee of red cross visited the local hospital there, and he says it's a horrible scene.",attacks,Attack
322,the associated press is reporting that u.s. troops have launched an attack on saddam international airport. about nine miles from the iraqi capital. pentagon officials briefed reporters who refused to comment about any activity at the airport. officials say they'll make comments after certain operations are conducted. but not before.,attack,Attack
323,saddam international airport has become a battlefield. witnesses say iraqi troops are dug in trying to fend off coalition troops making their way into the capital's main airport. a reuters correspondent said dozens of iraqi civilians and soldiers were killed in what witnesses called a barrage of u.s. artillery.,fend off,Attack
324,the struggle for power in a postsaddam iraq has begun. a key faction bidding for control announced it will protest the presence of a prominent iraqi exile leader. the head of the iraqi democratic movement says his group will hold a demonstration in nasiriyah to denounce the presence of ahmad chalabi. chalabi is the founder and leader of the iraqi national congress. he was escorted into iraq tuesday by u.s. marines. chalabi staged his own rally yesterday to support his bid to become the next leader of iraq.,protest,Demonstrate
325,"sharon osbourne did not enjoy her meal at a los angeles restaurant last night. ozzy's wife reportedly got into a fight with hollywood agent renee tab. sharon spit on tab and called her names. osbourne's spokeswomen says sharon was quote, ""viciously assaulted and treated at a hospital."" disagreement between the women began months ago when osbourne said tab atended her family's new year's eve party uninvited and then won the door prize, a $15,000 necklace. a spokesman says that if any charges are filed, they will be on the low end of the misdemeanor scale.",fight,Attack
326,"a palestinian terrorist leader wanted for a deadly 1985 cruise ship hijacking is in u.s. custody in iraq. u.s. sources tell cnn mohammed ""abu"" abbas was captured about 50 miles west of baghdad. palestinian sources say he had tried to flee into syria, but was turned away at the border. in october of 1985, four hijackers under his command took over the italian cruise ship ""achille lauro"" and killed a wheelchair- bound american tourist, leo klinghoffer. abbas was convicted in absentia by an italian court and sentenced to five life terms in prison.",flee,Transport
327,"hey had better than expected profit reports for the recent quarter. they both had good things to say going forward upping or reiterating 2003 guidance. good solid reports. motor row la. cutting another 3,000 jobs by the end of the year. profits for the end of the year did see profit as well. motorola and texas instruments both in the chips base as well swinging to profits as well, with sales up 20%. finally amr, the stock gained 15% yesterday, today's shares up another sen.8%. the flight attendants have until 6:00 today to ratify labor concessions. the pilots union and ground crew did so yesterday. the flight attendants came in with a close vote rejecting these concessions so the ceo has extended the deadline today, if they don't ratify these agreements, amr will have to file for bankruptcy. investors are betting they will agree, 16.8% to the upside is certainly a vote of confidence. back to you, guys.",bankruptcy,Declare-Bankruptcy
328,"seven former p.o.w.s are getting one step closer to home. they'll be arriving at ramstein air base in germany a few hours from now. once doctors there say they are good to go, the seven will head stateside. doctors in kuwait have already said the six men and one woman are in good shape, so they may not have to stay in germany very long. the former p.o.w.s were rescued sunday about 75 miles north of baghdad. they've been sticking close together ever since. medical officers say they became a team while in captivity and want to stay together as a team until it's time to go to their separate homes.",arriving,Transport
329,major league baseball sent its head of security to chicago to review the second incident of an on-field fan attack in the last seven months. the league is reviewing security at all ballparks to crack down on spectator violence. the kansas city royals considered not playing tonight before the team was assured that security measures have been tightened.,attack,Attack
330,"in northern iraq, u.s. marines and residents exchanged gunfire in the city of mosul today, in the second day of civil disturbances there. a senior kurdish intelligence official says citizens were protesting the american occupation of the city's main government building. seven iraqis were killed by u.s. marines, who say they were responding to sniper fire. hospital officials say 17 people have been killed and 18 wounded over the past 2 days. central command says troops were involved in a gun battle yesterday.",gunfire,Attack
331,police in pennsylvania a student fatally shot a principal before killing himself this morning. it happened in the cafeteria of red lion area junior high school about 30 miles southeast of harrisburg. it happened at 7:30 this morning. students then were moved across the street to a senior high school.,killing,Die
332,"german police say a teenage lebanese gunman, who hijacked a bus today, was hoping to free a key september 11th suspect. the gunman is accused of commandeering the bus in the north german city of bremen and holding 16 people hostage during a 75-mile police chase down the autobahn. negotiators say he demanded the release of four prisoners, including ramzi binalshibh, a september 11th suspect apprehended last year in pakistan. police captured the 17-year-old hijacking suspect without firing a shot. all hostages were released unharmed.",release,Release-Parole
333,"an american astronaut and russian cosmonaut are settling in at the international space station. a russian soyuz capsule dropped them off this morning after docking perfectly at the orbiting outpost. it was the first manned flight to the space station since the february first shuttle ""columbia"" disaster. about 90 minutes after the docking, the crews opened the hatch between the two spacecraft. edward lu and yuri malenchenko of russia will spend the next six months in the space station. they're replacing the two astronauts and one cosmonaut currently there. the soyuz will carry that crew back to earth may 4th.",dropped,Transport
334,"president bush is pushing congress to pass his $15 billion worldwide program for fighting aids. at a white house gathering of aids activists and lawmakers from around the world, the president said hir plan could prevent 7 million new hiv infections -- and treat at least 2 million people over the next decade.",gathering,Meet
335,"a week after these pictures surfaced, and after saying he'd fight for his job, larry eustachy resigned as basketball coach at iowa state. the damage to his credibility was too much after eustachy admitted he partied with students at rival schools, and that he's an alcoholic. he seeped a $960,000 buyout from the university.",resigned,End-Position
336,"24 hours after a coordinated series of suicide bombings in saudi arabia, the death toll is still rising. an eighth american has died. in all, 21 people were killed, not including the nine suspected bombers. nearly 200 people were injured. u.s. and saudi officials say the bombings bear the trademark of al qaeda. they may have been timed to coincide with the arrival of secretary of state colin powell in riyadh. the state department is ordering all non-essential diplomats and dependents out of the country. an fbi team is heading to saudi arabia to help investigate the attacks. they targeted three residential compounds for americans and other westerners.",bombings,Attack
337,"convicted oklahoma city bombing conspirator terry nichols will stand trial again on state murder charges. nichols is serving a life term for his federal manslaughter and conspiracy convictions stemming from the deaths of eight federal employees in the 1995 blast. an oklahoma city judge has ruled prosecutors presented enough evidence at a preliminary hearing to try nichols on murder charges for the other 160 victims of the attack. they will seek the death penalty. timothy mcveigh, convicted of setting off the bomb that destroyed the alfred p. murrah federal building, was executed nearly two years ago.",convicted,Convict
338,"i'm alisha davis. used to be the king of pop. now you could call him the king of lawsuits. michael jackson filed suit against universal music, the parent company of motown records saying he owe him for music he recorded with the jackson five back in the 1970s. the gloved one claims the label has been releasing new albums and jackson five merchandise without giving him ""a single dollar."" jackson has been in and out of courtrooms lately. in recent months, he's been sued by an auction house for non-payment, and by a concert promoter for allegedly backing out of two millennium performances.",suit,Sue
339,"israel has experienced its fifth suicide bombing in three days. police say a bomber blew herself up outside a northern israel shopping center when she was stopped by a security guard. three people plus the bomber were killed, and at least 30 others were hurt. the french press agency says the militant group ""islamic jihad"" is claiming responsibility.",bombing,Attack
340,"5,400 sailors and marines are back at home after serving in iraq. they're the crew of the ""uss harry s. truman."" they have reunited with their families and friends, at the aircraft carrier's home port in norfolk, virginia. the ""truman"" is the first east coast-based carrier to return from the war.",reunited,Meet
341,"good evening. welcome, everyone. mike galanos is off tonight. our top story -- eric robert rudolph has officially said he didn't do it. he pleaded not guilty to bombing a birmingham women's clinic in 1998. the suspected serial bomber appeared in a federal courthouse tuesday afternoon. he is also suspected in three atlanta-area bombings. north carolina authorities say rudolph opened up to them about his five years on the run. he says he hunted wild animals, searched the trash for food, and covered himself with leaves to make it through the winters.",bombing,Attack
342,"welcome and good evening, everyone. mike is off tonight. to our top story of the evening -- martha stewart is stepping down as head of her media empire. she announced her decision to vacate her post as chief executive of martha stewart living omnimedia, following word of a federal indictment. in a statement, she says she's stepping aside in the best interest of the company, but she will stay on the board of directors. stewart pleaded not guilty to a nine-count indictment. the charges include conspiracy to obstruct justice and perjury connected to an insider trading scandal. the government also filed civil charges against her. she is charged with using insider information to bail out of a biotech stock the day before its price tanked, and then trying to cover it up. her stockbroker was also charged. if convicted on all counts, stewart faces up to 30 years in prison and $2 million in fines.",stepping down,End-Position
343,there was a time when offspring of london's rich and famous were rolled through hyde park by black-clad nannies pushing silver cross prams. the high-end baby carriage company went bust last year. but a toymaker and one man's dream have put the silver cross pram back on the stroller circuit. here's jim boulden.,bust,End-Org
344,"reporter: a well-heeled baby like princess, seen. the distinctive karbages stroll tlued london's fashionable parks way nanny at the ready. that is, until silver cross went out of business last year. all is not lost for the rich and famous baby. a toy company bought the silver cross name so they could make toy versions. then one former worker persuaded the company to let him make the real ones again.",out,End-Org
345,"i went away for two weeks, reflected on my future and feel i couldn't convince myself until it was over. i felt t7ire was something else too, much history behind silver cross to end is now.",end,End-Org
346,"reporter: he bought the machinery, moved to a new factory, rehired some of the old workers and started heritage programs. it's been near lay year since the last programme was manufactured at the old factory. this one is bellmore oh 1, the first to cull off the new line and destined for harrod's. it was hand delivered to harrod harrod's by the new chief executive nick paxton who wouldn't trust its futcher to anyone else. the store is now",rehired,Start-Position
347,"the founder and former ceo of imclone just learned the penalty for his role in the pharmaceutical company's insider trading scandal. sam waksal was sentenced to seven years and three months in federal prison. he's also being fined $3 million and was ordered to pay $1.2 million in restitution to the new york state tax commission. waksal pleaded guilty last fall to six counts of security fraud, bank fraud, conspiracy to obstruct justice and perjury. he's being released on his own cog in a sans before he's to report to jail. waksal admitted to tipping his daughter to dump imclone stock market just ahead of a drug rejection the company was developing and he pleaded guilty to bank fraud by forging a signature on a $44 million loan. the imclone scandal led to charges against waksal's friend, martha stewart, last week over her sale of the stock the day before the price collapsed.",released,Release-Parole
348,"a pizza delivery helped police nab the suspect in the kidnapping of a 9-year-old california girl. 24-year-old enrique alvarez, also known as david cruz, was arrested monday in san jose. he is expected to be arraigned wednesday. he's charged with kidnapping, felony assault and sexual assault. the girl was found late sunday at a convenience store in east palo alto. police say she told them a pepperoni pizza had been delivered to the house where she was held. detectives were able to track the order to the house, where they found alvarez hiding in the attic.",nab,Arrest-Jail
349,and it's a day in court for 16 of the suburban chicago high school girls involved in a violent hazing incident last month. they're facing misdemeanor charges. mothers of two of the students at glenbrook north high school have also been named on misdemeanor charges of supplying beer to the teenagers.,charges,Charge-Indict
350,how could so many people end up in prison for crimes they didn't commit,end up,Arrest-Jail
351,"the story behind the defendants of tulia, texas, is our ""headlines timeline."" july 23rd, 1999 -- there was a massive drug bust in a predominately african-american neighborhood in tulia. of the 46 people arrested, 39 are african-american. the case against them was based on the testimony of undercover officer thomas coleman. coleman claimed he bought drugs from the defendants, but offered little or no supporting evidence. after the first of several trials ended with convictions and harsh sentences, most of the other defendants pleaded guilty to avoid hard time. march 17, 2003 -- with coleman's credibility under serious attack, new hearings for the tulia defendants get under way. the hearings are stopped when the judge, defense attorneys and prosecutors agree that coleman lied under oath and is a racist. coleman denies doing anything wrong. it took a special act of the texas legislature to clear the way for monday's release. but these men and the others caught up in the tulia tragedy are still convicted criminals. now it's up to the appeals court and the board of pardon and paroles to officially clear their names.",convictions,Convict
352,"the bush administration is officially endorsing the pro-democracy demonstrations in iran. for a week now, protesters have been clashing with police and backers of the clerical regime in tehran. in turn, the iranian government has accused the bush administration of providing material support to the protesters. the state department spokesman says the demonstrations are about iran and iranians, and have nothing to do with the u.s., but he did make it clear where u.s. sympathies lie.",demonstrations,Demonstrate
353,"it looks like an annual tradition is building. 80,000 people with a shared love of music converge on a tennessee pasture for three days of good vibes and who knows what else. it's called bonnaroo. check it out.",converge,Meet
354,at least ten people have been injured and at least five homes have burned in benton harbor since the rioting began. police are still looking for the arsonists. but city officials say several people have been arrested on civil disobedience charges. one person was arrested for assault with a deadly weapon.,arrested,Arrest-Jail
355,"a father in new york is accused of dropping his baby out of a seven- story apartment window, here's jordena ginsberg with more from affiliate news-12 westchester.",dropping,Transport
356,"reporter: please measure the spot where she landed after she was thrown from a seventh floor window. the baby fell 80 feet. these tree branches cushioned her fall and saved her life. the baby's aunt didn't want her face shown on tv, but told us she was stunned.",thrown,Transport
357,"reporter: now, willie williams, the little girl's father is charged with attempted murder. police say it all started at around 11:30 saturday night when williams got into a fight with the baby's mother jasmine gil yo. he wanted to date her again and she wasn't interested. cops say he allegedly kidnapped her and threatened her but eventually brought her back to her home. that's when police say he grabbed their daughter.",charged,Charge-Indict
358,"then the baby's mother made a frantic call to the police. while she was on the phone, he picked up the child again and this time threw her out the window. then police say the baby's mother pulled out a kitchen knife. you can hear williams say, go ahead, kill me. at that point the baby's mother stabbed him right in the hand. still bleeding, he ran downstairs and scooped up the baby, and took the baby to the hospital. police were on his trail and found williams and the baby at at the",threw,Transport
359,a man in new york is facing attempted murder charges after allegedly throwing his baby seven stories to the ground below. jordeena ginsburg from news 12 westchester has the story.,charges,Charge-Indict
360,reporter: police measure the spot where ten months old miana williams landed after she was thrown from a seventh floor window at this apartment building. the baby fell 80 feet. these tree branches cushioned her fall and saved her life. the baby's aunt didn't want her face shown on tv but told us she was stunned.,landed,Transport
361,"reporter: now willie williams the girl's father is qharthd attempted murder. it all started around 11:30 saturday night, when williams got into a fight with the baby's mother, jasmine. he wanted to date her again and she wasn't interested. cops say he allegedly kidnapped her in his car and threatened her but eventually brought her back to her home. that's when police say he grabbed her daughter.",qharthd,Charge-Indict
362,"reporter: then the baby's mother made a frantic call to police. while she was on the phone, police say williams picked up the child again and this time, threw her out the window. then police say the baby's mother pulled out a kitchen knife opinion on the 911 tape you can hear williams tape say ""go ahead kill me."" still bleeding, he ran downstairs and scooped up the baby and took the baby to the hospital. police were on his trail and found williams and the baby at mem norial hospital where",call,Phone-Write
363,"we begin tonight with a big story out of iraq. cnn has learned that the cia has obtained critical pieces of nuclear technology in iraq. the parts are essential to developing a nuclear bomb program. they were hidden under a rosebush in the back yard of an iraqi scientist in baghdad. that iraqi scientist hid the components 12 years ago. he said saddam hussein's son, qusay, and his then son-in-law ordered him to do it. he tells cnn he was told to keep the parts hidden so they would be ready when the time came to rebuild iraq's program. the parts are from a gas centrifuge and can be used for enriching uranium in bomb quality material. ,000 looks like there may be some evidence that osama bin laden is alive and still plotting. cnn learned the al qaeda leader sent personal letters to key operatives in february, ordering them to attack the united states and its allies. intelligence sources say the correspondence came from the border between pakistan and afghanistan, where osama bin laden is believed to be hiding. couriers delivered the letters to locations including africa, asia and the middle east. a month later, u.s. and pakistani force hs a lead on osama bin laden, but by the time they moved in, he had vanished again.",sent,Phone-Write
364,"i just want to update you on kofi annan's remarks. the u.n. secretary-general did not answer questions on iraq as a result. there's nothing to report on that front. we have just gotten word from the ninth circuit court of appeals that that court has now put on hold its ruling banning the pledge of allegiance in public classrooms. schools in nine western states would have been prohibited from having students say the pledge starting monday. the stay was granted to give the school districts involved in the initial cases 90 days to appeal to the u.s. supreme court here in washington. the appeals court ruled last summer, but the phrase under god which was ad ded to the pledge in the 1950s is an unconstitutional endorsement of religion. we'll continue to follow this court ruling as well. here's how you're weighing in on our web question of the day. remember when we've been asking you this question. who is the number one threat facing the u.s.",ruling,Appeal
365,"it's with wednesday, march 5 200 3. i'm wolf blitzer in washington. is the u.s. going to war",war,Attack
366,"if you listen to the from's men it sounds like the battle is about to begin, maybe only days from now. america's top diplomat laid out the case for war. secretary of state colin powell acted like a prosecutor, pointing out iraq's failures. over at the pentagon, the military leaders say that troops are ready to fight right now even as they await word of the president's order, but there is major opposition today, france, germany and russia plan a showdown at theupups in a bid to stop the u.s.'s war machine and their voices of dissent echoed by protestors from australia to egypt to university students right here in the united states. even the vatican voiced concerns today. later this hour i'll speak exclusively to cardinal pio laghi, the man dismatched by pope john paul ii to persuade president bush to avoid war, but we begin with reports from the united nations, the pentagon and the white house. first to chris burns with news on the president and the secretary of state who switched from diplomacy to talk of war. chris",war,Attack
367,"good morning. a crazy world we live in. the supreme court of the united states upheld the toughest three strikes law in the country yesterday. that's california's. they rejected challenges to the law of sentences of 25 years to life without parole for a man convicted of stealing some golf clubs and 50 years for a man who stole some videotapes. the idea is if you have three felony convictions, you're out of here. the voters overwhelmingly passed the law in 1994 to offset the liberal and lenient judges to let bad people off with nothing more than a slap of the wrist. they appealed to the supreme court on behalf of these two people. currently in california, 7000 people serving 25 to year life sentences under the three strikes law. one-third of them -- not that. 300 of them are in there for things like petty theft. 25 other states that have the three strikes law. and that brings us to the question. it was a close vote. 5-4 in the supreme court. here is the question of the day. you can e-mail us at am@cnn.com. it's designed to counter the kind of thing that i found in the new york newspaper this morning where a brooklyn woman who scalded her 4-year-old to death in a bathtub, walked out of court a free woman yesterday sentenced to five years probation. it took the child three weeks to die in the hot from -- hospital from the injuries it suffered at the hands of its mother and she's free. five years probation for killing her 4-year-old by scalding it to death in the bathtub. that is the",injuries,Injure
368,"tens of thousands of college and high school students stage antiwar protests on campuses yesterday from coast-to-coast. california now, high school and college students there skipped class to show their opposition to a u.s.-led war with iraq. the books not bombs demonstration coored naed by the national youth and student peace coalition. record temperatures in the north. threatening right now to freeze over lake superior surface. if so, forecasters say it will be the first time there in about two decades. lake superior, the largest of the five great lakes. it doesn't look too frozen there.",protests,Demonstrate
369,"another story out of belgrade, violence at the highest form. the serbian prime minister, zoran djindjic has died of his wounds after being shot, an assassination attempt. apparently, he was on his way to greet reporters at the time outside the main government office there in belgrade. all this happening about 90 minutes ago based on the wire reports we're getting here. the word from serbia, zoran djindjic, the prime minister, is dead. earlier reports said he was shot in the back, as well as the stomach.",violence,Attack
370,""" all of the children out there deserve to come home to their parents the way -- the way elizabeth has come back to us. and i just hope and pray that congress will quickly pass the amber alert so that those children will have a better chance because they cross the state line and they're out of commission. and we need to have this here. we really do. but i just am so grateful and so thankful. thank you very much.",cross,Transport
371,"i just brought her little brother william in. and as william and she saw each other, it was such a wonderful reunion for them to just hug, and they -- he would hug her and look at her and hug her and look at her. and couldn't believe, i think, as a 4-year-old now that his sister is home.",reunion,Meet
372,"with the darkness that surrounds us in these times of the possibility of war that could be coming upon us and a miracle that has been brought to us, an incredible miracle that has been brought to our family, words cannot express how grateful we are for the prayers around the world. do miracles still exist",war,Attack
373,"perhaps with that in mind, the nation's threat level back at orange, or high, to discourage and thwart potential terrorist attacks. what does this mean if you're traveling you might ask. to cnn's patty davis at reagan national airport. what are travelers to do and, for that matter, not to do",attacks,Attack
374,"begin the training for the pilots in the cockpits with firearms. then you've got the hardened cockpit doors. you have training for the flight attendants. you have more federal air marshals. you come outside the airline -- the airplane itself and you have technology, 100% inspection of baggage. you have new trained inspectors for passengers. you enhance airport security outside the perimeter. there will be additional random inspections of vehicles and potentially, depending on the airport, some limitations of indegrees and egress into the airport.",indegrees,Transport
375,"we are watching activity in baghdad. while we do, we want to tell you marines battling for control of the bridges in the southern city of nasiriyah face stiff resistance from iraqi paramilitary groups today. for some perspective, let's turn to miles o'brien with retired air force general don shepperd.",battling,Attack
376,"thank you very much. if you are going to fight on the ground, you have to encounter bridges somewhere along the way. a lot of bridges between where the 3 7 cavalry and the rest of the u.s. forces are now and their ultimate destination, downtown baghdad. we have the city laid out for you here. how many bridges in this city alone",fight,Attack
377,"this is one technique, one possible way u.s. forces might seize a bridge, a bridge that might be defended by iraqis. let's look at the animation. typical scenario there. it doesn't really matter for this scenario that we're laying out here. this would be representing m1-a1 tanks coming towards the bridge firing.",seize,Attack
378,you have to bundle up and line up to go across that bridge. makes it vulnerable to fire from the other side.,fire,Attack
379,"as we turn the other direction, what you'll see are these iraqi tanks that are kind of fortified there. they have burns in front of them. artillery behind them firing back. and then they there goes the smoke screen. the idea of the smoke screen is to obscure the oncoming forces fire ing at you from being able to see.",firing,Attack
380,"on we go in the meantime. again, today, there were disturbing hints, and we underscore hints here, that coalition forces may soon face an attack using chemical weapons. yesterday the story centered on intelligence regarding enemy intentions. today the evidence is somewhat more tangible. reporting for us, cnn's david ensor.",attack,Attack
381,"reporter: the evidence is accumulating that iraq may be planning to use chemical weapons. gas masks turning up in abandoned trenches. in nasiriyah in a building marked as a hospital u.s. marines found weapons, atropine antidote kits, and that was not all.",use,Attack
382,"reporter: the findings are heightening concerns among coalition forces approaching baghdad since, as the iraqis should know, u.s. and british forces do not use chemical weapons. u.s. officials say some intelligence indicates a red line may have been drawn around the capital with republican guard units ordered to use chemical weapons once u.s. and allied troops cross it. there is also intelligence, officials say, suggesting republican guard units have been issued artillery shells containing chemical agents.",approaching,Transport
383,"there has been intelligence scraps, who knows how accurate they are, chatter in the system, that suggests that the closer that coalition forces get to baghdad and tikrit the greater the likelihood and that some command and control arrangements have been put in place.",get,Transport
384,"reporter: experts say saddam hussein's forces will likely try to hold out in baghdad for as long as possible without using the weapons his government insists it does not have, hoping to build international pressure on the u.s. and britain to back down.",using,Attack
385,"in that sense any use of chemical weapons would be counterproductive to saddam, because it would only galvanize international",use,Attack
386,"for some americans who find themselves spending hours on end watching television coverage of the war, it can be hard to break away. that is especially true if you have a loved one in the war zone. but as our candy crowley reminds us, life does and must go on.",war,Attack
387,more than 70 percent of americans say they are sad about the war. the barber at hinsville georgia larries that.,war,Attack
388,"i don't think it's affecting our business as much as i was worried that it would, but you never know it's going to happen. if there's any kind of terrorism that happens here, i think that would definitely put a damper on everything.",terrorism,Attack
389,"nationwide, people shopped less in the first week of the war. sales fell 2 percent from the previous week. air travel has fallen 10 mers since the war began and some hotel chains say cancellations are up. 60 percent of the people say they're watching the war.",war,Attack
390,maybe fewer people are shoning because they're watching tv. maybe fewer are flying because they worry about terrorism or they worry about what the war will do to the economy or maybe it's everything.,war,Attack
391,"tense of thousands of additional u.s. troops are getting ready to join coalition forces fighting the war in iraq. the first departures are already underway at fort hood texas. cnn's jamie kolbe is there reporting, jamie on these families who are saying good-bye to their loved ones.",join,Transport
392,"reporter: and this is a military town, judy and little by little we are seeing these soldiers head out. in a strange way and this may sound unusual, there's a little sense of relief because these soldiers were set to leave in january and now they got second deployment orders, the delay, of course, the inability to get access to turkey, but along the way, the 4th infantry division is one seeped in tradition and there's a real sense of pride among the soldiers, 250 of which left yesterday, over the course of the week 12,000 will be leaving from here. another 4,000 from fort carson in colorado and it dates back to world war i. their equipment that left on january is now on a ship on its way south through the suez canal and it's interesting to note some of the equipment that's been held up for the last couple of months, there are some 5 helicopters, 200 tanks as well as 150 bradley infantry fighting vehicles. these are highly trained soldiers. they are ready to go. they are happy to be finally able to come and back up the first wave of troops that left from here. their mission is very broad, judy to deploy anywhere in the world in support of national strategy. they doan know what they'll be doing. they will learn that once they get there their first stop will be to central command, they'll receive more specific orders. they will be join by the first cavalry. they have received deployment orders. they have not yet been told to make final arrangements. they all tell me, the soldiers you talk to and also some of the information people here at fort hood, they train like they fight. they are ready. they are determined and they are very patriotic in support of our country. they are going over there to do a mission they believe in and as we said, 250 left yesterday. they were armedded with their m-16s, they are concerned. their families were here to see them off, but they are determined to return though it is interesting to note that many of them, so many with young children have told their kids that mom or dad could be away for as long as a year. judy",head out,Transport
393,"today's battles include pictures of the oil field fires in southern iraq. firefighters continue their work at the ramallah oil field. officials say they capped one blaze, leaving only two wells still burning out of 500 oil fields in the area. they say some iraqis who worked in the field before the war already are asking for their jobs back. and these pictures show iraqis running for cover just before u.s. planes dropped a bomb near northern iraq. just as they disappear over the ridge, you can hear the planes and the explosions and then you see the cloud. ask any american marine and they'll tell you they'll do anything possible to recover the bodies of fallen comrades. that grim task was carried out by marines engaged in the fierce battle for the city of nasiriyah nasiriyah. aless so vinci is there with the marines.",war,Attack
394,"usairways is flying its way out of bankruptcy. the company which lost nearly $4 billion over the past two years has cut its annual costs by nearly $2 billion. most of that was saved by cutting employee wages and benefits. the dow is down. you see there, just about almost 140 points. nasdaq down 20 and the s&p is down, as well. so the markets are continuing their negative trend from last week. we'll keep our i on that. coming up right here, next hour on live from, terror tactics on the battlefield. is it a taste of more to come in iraq",bankruptcy,Declare-Bankruptcy
395,"we'll talk with a terror expert about that, and iraqi deserters on the northern front. ben wedeman has their story why they're no longer fighting for saddam hussein and don shepperd is going to answer some of your questions as he looks at the battle hot spots. now let's go back to wolf blitzer in kuwait city for more special coverage of the war in iraq.",fighting,Attack
